Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,19/07/2024,Vente,757000.0,35.0,,RUE,2855,DUCAU,33000.0,BORDEAUX,33,63,,PN,40,,,,,,,,,,,,0,1.0,Maison,,80.0,4.0,S,,81.0,9462.5
,,,,,,,1,18/07/2024,Vente,225000.0,19.0,,RUE,5755,DE LURBE,33000.0,BORDEAUX,33,63,,KW,19,,9,,,,,,,,,,1,2.0,Appartement,,38.0,2.0,,,,5921.0526315789475
,,,,,,,1,22/07/2024,Vente,110100.0,1.0,,RUE,9160,VALENTIN HAUY,33000.0,BORDEAUX,33,63,,IV,20,,21,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,22/07/2024,Vente,110100.0,1.0,,RUE,9160,VALENTIN HAUY,33000.0,BORDEAUX,33,63,,IV,20,,3,,,,,,,,,,1,2.0,Appartement,,35.0,2.0,,,,3145.714285714286
,,,,,,,1,26/07/2024,Vente,524900.0,8.0,,RUE,8795,DU TAILLAN,33000.0,BORDEAUX,33,63,,OV,81,,,,,,,,,,,,0,1.0,Maison,,110.0,3.0,S,,182.0,4771.818181818182
,,,,,,,1,31/07/2024,Vente,557380.0,11.0,,AV,5620,LOUIS BARTHOU CAUD,33200.0,BORDEAUX,33,63,,NY,67,,11,"118,09",6,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,31/07/2024,Vente,557380.0,11.0,,AV,5620,LOUIS BARTHOU CAUD,33200.0,BORDEAUX,33,63,,NY,67,,2,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,31/07/2024,Vente,557380.0,11.0,,AV,5620,LOUIS BARTHOU CAUD,33200.0,BORDEAUX,33,63,,NY,67,,11,"118,09",6,,,,,,,,2,2.0,Appartement,,123.0,4.0,,,,4531.544715447155
,,,,,,,1,29/07/2024,Vente,625000.0,5.0,,RUE,0394,ARMAND GOT,33200.0,BORDEAUX,33,63,,YT,196,,,,,,,,,,,,0,1.0,Maison,,195.0,5.0,S,,574.0,3205.128205128205
,,,,,,,1,29/07/2024,Vente,625000.0,5.0,,RUE,0394,ARMAND GOT,33200.0,BORDEAUX,33,63,,YT,196,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,574.0,inf
,,,,,,,1,11/07/2024,Vente,152000.0,26.0,,RUE,4010,GEORGES MANDEL,33000.0,BORDEAUX,33,63,,LA,10,,2,,,,,,,,,,1,2.0,Appartement,,28.0,1.0,,,,5428.571428571428
,,,,,,,1,11/07/2024,Vente,152000.0,26.0,,RUE,4010,GEORGES MANDEL,33000.0,BORDEAUX,33,63,,LA,10,,10,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
