Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,18/09/2024,Vente,136000.0,65.0,,AV,7144,DU PRESIDENT KENNEDY,59800.0,LILLE,59,350,,TO,7,,103,,122,,138,,,,,,3,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,22/08/2024,Vente,63000.0,53.0,,RUE,8829,DE VALENCIENNES,59000.0,LILLE,59,350,,HZ,77,,24,,9,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,22/08/2024,Vente,63000.0,53.0,,RUE,8829,DE VALENCIENNES,59000.0,LILLE,59,350,,HZ,77,,24,,9,,,,,,,,2,2.0,Appartement,,25.0,1.0,,,,2520.0
,,,,,,,1,27/09/2024,Vente,128950.0,77.0,,RUE,8449,DES STATIONS,59800.0,LILLE,59,350,,PZ,34,,12,,,,,,,,,,1,2.0,Appartement,,30.0,2.0,,,,4298.333333333333
,,,,,,,1,26/09/2024,Vente,369500.0,28.0,,,3189,FACADE DE L ESPLANADE,59800.0,LILLE,59,350,,KV,185,,13,,14,,61,"86,06",,,,,3,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,26/09/2024,Vente,369500.0,28.0,,,3189,FACADE DE L ESPLANADE,59800.0,LILLE,59,350,,KV,185,,13,,14,,61,"86,06",,,,,3,2.0,Appartement,,104.0,4.0,,,,3552.8846153846152
,,,,,,,1,25/09/2024,Vente,800000.0,43.0,,RUE,3306,DU FBG DE BETHUNE,59000.0,LILLE,59,350,,EK,424,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,,900.0,0.0,S,,516.0,888.8888888888889
,,,,,,,1,11/10/2024,Vente,99150.0,10.0,,RUE,2778,DOUDIN,59800.0,LILLE,59,350,,LO,257,,52,"18,42",,,,,,,,,1,2.0,Appartement,,22.0,1.0,,,,4506.818181818182
,,,,,,,1,20/09/2024,Vente,348800.0,9.0,,RUE,3511,DES FOSSES,59800.0,LILLE,59,350,,LS,369,,4,"80,24",,,,,,,,,1,2.0,Appartement,,84.0,3.0,,,,4152.380952380952
,,,,,,,1,20/09/2024,Vente,348800.0,9.0,,RUE,3511,DES FOSSES,59800.0,LILLE,59,350,,LS,369,,4,"80,24",,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,25/09/2024,Vente,136000.0,62.0,,RUE,8449,DES STATIONS,59800.0,LILLE,59,350,,RS,144,,238,"28,00",,,,,,,,,1,2.0,Appartement,,34.0,1.0,,,,4000.0
,,,,,,,1,26/09/2024,Vente,223150.0,51.0,,BD,1302,CARNOT,59800.0,LILLE,59,350,,HP,19,,13,"87,91",42,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,26/09/2024,Vente,223150.0,51.0,,BD,1302,CARNOT,59800.0,LILLE,59,350,,HP,19,,13,"87,91",42,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,26/09/2024,Vente,223150.0,51.0,,BD,1302,CARNOT,59800.0,LILLE,59,350,,HP,19,,13,"87,91",42,,,,,,,,2,2.0,Appartement,,88.0,3.0,,,,2535.7954545454545
,,,,,,,1,01/10/2024,Vente,16000.0,9027.0,,RUE,9381,AUGUSTE RENOIR LOMME,59160.0,LILLE,59,350,355.0,A,3703,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,22.0,inf
,,,,,,,2,10/10/2024,Vente,175000.0,57.0,,RUE,9435,DE L EGALITE,59160.0,LILLE,59,350,355.0,C,7234,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,205.0,inf
